date,type,fuel,registrations
2003-04-01,all_types,diesel,2068
2003-05-01,all_types,diesel,1815
2003-06-01,all_types,diesel,1830
2003-07-01,all_types,diesel,2085
2003-08-01,all_types,diesel,1991
2003-09-01,all_types,diesel,1928
2003-10-01,all_types,diesel,1977
2003-11-01,all_types,diesel,1428
2003-12-01,all_types,diesel,1841
2004-01-01,all_types,diesel,1512
2004-02-01,all_types,diesel,1294
2004-03-01,all_types,diesel,2264
2004-04-01,all_types,diesel,1874
2004-05-01,all_types,diesel,1842
2004-06-01,all_types,diesel,2063
2004-07-01,all_types,diesel,2116
2004-08-01,all_types,diesel,2004
2004-09-01,all_types,diesel,2321
2004-10-01,all_types,diesel,2229
2004-11-01,all_types,diesel,1607
2004-12-01,all_types,diesel,1897
2005-01-01,all_types,diesel,1823
2005-02-01,all_types,diesel,1443
2005-03-01,all_types,diesel,1889
2005-04-01,all_types,diesel,1713
2005-05-01,all_types,diesel,1720
2005-06-01,all_types,diesel,1858
2005-07-01,all_types,diesel,1835
2005-08-01,all_types,diesel,1807
2005-09-01,all_types,diesel,1838
2005-10-01,all_types,diesel,1751
2005-11-01,all_types,diesel,1472
2005-12-01,all_types,diesel,1711
2006-01-01,all_types,diesel,1463
2006-02-01,all_types,diesel,1206
2006-03-01,all_types,diesel,1963
2006-04-01,all_types,diesel,1514
2006-05-01,all_types,diesel,1802
2006-06-01,all_types,diesel,1780
2006-07-01,all_types,diesel,1793
2006-08-01,all_types,diesel,1955
2006-09-01,all_types,diesel,2081
2006-10-01,all_types,diesel,1514
2006-11-01,all_types,diesel,1947
2006-12-01,all_types,diesel,1832
2007-01-01,all_types,diesel,2133
2007-02-01,all_types,diesel,1697
2007-03-01,all_types,diesel,2083
2007-04-01,all_types,diesel,2197
2007-05-01,all_types,diesel,2441
2007-06-01,all_types,diesel,2411
2007-07-01,all_types,diesel,2679
2007-08-01,all_types,diesel,2588
2007-09-01,all_types,diesel,2503
2007-10-01,all_types,diesel,2383
2007-11-01,all_types,diesel,2705
2007-12-01,all_types,diesel,2464
2008-01-01,all_types,diesel,2903
2008-02-01,all_types,diesel,2395
2008-03-01,all_types,diesel,2685
2008-04-01,all_types,diesel,3186
2008-05-01,all_types,diesel,2710
2008-06-01,all_types,diesel,2993
2008-07-01,all_types,diesel,2598
2008-08-01,all_types,diesel,1956
2008-09-01,all_types,diesel,2396
2008-10-01,all_types,diesel,1891
2008-11-01,all_types,diesel,2652
2008-12-01,all_types,diesel,2183
2009-01-01,all_types,diesel,1695
2009-02-01,all_types,diesel,1539
2009-03-01,all_types,diesel,2006
2009-04-01,all_types,diesel,1856
2009-05-01,all_types,diesel,1900
2009-06-01,all_types,diesel,2118
2009-07-01,all_types,diesel,2473
2009-08-01,all_types,diesel,2359
2009-09-01,all_types,diesel,2181
2009-10-01,all_types,diesel,2480
2009-11-01,all_types,diesel,2290
2009-12-01,all_types,diesel,2268
2010-01-01,all_types,diesel,2817
2010-02-01,all_types,diesel,1199
2010-03-01,all_types,diesel,2756
2010-04-01,all_types,diesel,3044
2010-05-01,all_types,diesel,2689
2010-06-01,all_types,diesel,3187
2010-07-01,all_types,diesel,2916
2010-08-01,all_types,diesel,2928
2010-09-01,all_types,diesel,2155
2010-10-01,all_types,diesel,2595
2010-11-01,all_types,diesel,2418
2010-12-01,all_types,diesel,2471
2011-01-01,all_types,diesel,2607
2011-02-01,all_types,diesel,1667
2011-03-01,all_types,diesel,2948
2011-04-01,all_types,diesel,2780
2011-05-01,all_types,diesel,2639
2011-06-01,all_types,diesel,2800
2011-07-01,all_types,diesel,2810
